Property_Type,Club_House,School_University_In_Township,Hospital_In_Township,Mall_In_Township,Park_Jogging_Track,Swimming_Pool,Gym,Property_Area_in_SqFt,Price_In_Lakhs,Price_By_SubArea,Amenities_Score,Price_By_Amenities_Score,Noun_Counts,Verb_Counts,Adjective_Counts,boasts_elegant,elegant_towers,every_day,great_community,mantra_gold,offering_bedroom,quality_specification,stories_offering,towers_stories,world_class
3.0,1,0,0,0,1,1,1,581.0,26.0,20.666666666666668,4,97.87350515463918,12,1,5,0,0,0,0,0,0,0,0,0,1
2.0,1,0,0,0,1,1,1,790.0,80.0,109.66666666666667,4,97.87350515463918,10,4,8,0,0,0,0,0,0,0,0,0,1
2.0,1,0,0,0,1,1,1,820.0,83.0,109.66666666666667,4,97.87350515463918,11,2,5,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,989.0,101.0,109.66666666666667,4,97.87350515463918,9,2,8,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1003.0,103.0,109.66666666666667,4,97.87350515463918,12,1,4,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1182.0,128.0,109.66666666666667,4,97.87350515463918,11,0,3,1,1,0,1,0,1,1,1,1,0
5.0,1,0,0,0,1,1,1,1579.0,163.0,109.66666666666667,4,97.87350515463918,14,0,2,0,0,0,0,0,0,0,0,0,0
0.0,0,0,0,0,1,0,1,163.0,54.0,54.0,2,81.48103448275862,11,0,3,1,1,0,1,0,1,1,1,1,0
1.0,0,0,0,0,1,0,1,491.0,39.0,54.0,2,81.48103448275862,6,3,5,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,1,659.0,51.0,54.0,2,81.48103448275862,9,5,7,0,0,0,0,0,0,0,0,0,1
2.0,0,0,0,0,1,0,1,732.0,60.0,54.0,2,81.48103448275862,11,0,4,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,0,0,1,809.0,66.0,54.0,1,62.574285714285715,4,2,5,0,0,0,0,0,0,0,0,0,0
1.0,0,0,0,0,1,1,1,460.0,45.5,75.6375,3,68.51434782608695,11,3,4,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,1,1,734.0,72.5,75.6375,3,68.51434782608695,9,1,1,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,1,1,753.0,73.5,75.6375,3,68.51434782608695,8,1,3,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,0,675.0,62.0,75.6375,1,62.574285714285715,10,0,2,1,1,0,1,0,1,1,1,1,0
3.0,0,0,0,0,1,0,0,917.0,84.0,75.6375,1,62.574285714285715,8,0,3,1,1,0,1,0,1,1,1,1,0
2.0,1,0,0,0,1,1,0,670.0,54.14,69.665,3,68.51434782608695,12,4,6,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,0,740.0,58.32,69.665,3,68.51434782608695,7,3,7,0,0,0,0,0,0,0,0,0,0
2.5,1,0,0,0,1,1,0,847.0,69.38,69.665,3,68.51434782608695,11,0,8,0,0,0,0,0,0,0,0,0,0
2.5,1,0,0,0,1,1,0,936.0,75.03,69.665,3,68.51434782608695,10,2,4,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,0,990.0,79.02,69.665,3,68.51434782608695,10,1,10,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,0,1032.0,82.1,69.665,3,68.51434782608695,6,1,3,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1671.7999999999995,190.29999999999987,190.29999999999987,4,97.87350515463918,12,0,3,1,1,0,1,0,1,1,1,1,0
4.0,1,0,0,0,1,1,1,1671.7999999999995,190.29999999999987,190.29999999999987,4,97.87350515463918,10,0,3,1,1,0,1,0,1,1,1,1,0
2.0,1,0,0,0,1,1,1,670.0,45.75,95.99833333333329,4,97.87350515463918,7,1,5,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,725.0,49.34,95.99833333333329,4,97.87350515463918,6,0,2,0,0,1,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,731.0,49.74,95.99833333333329,4,97.87350515463918,3,1,0,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,744.0,50.56,95.99833333333329,4,97.87350515463918,7,0,1,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,923.0,190.29999999999987,95.99833333333329,4,97.87350515463918,7,0,5,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,930.0,190.29999999999987,95.99833333333329,4,97.87350515463918,7,0,3,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,1,1,446.0,36.0,64.9,4,97.87350515463918,5,0,3,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,670.0,55.0,64.9,4,97.87350515463918,3,3,6,0,0,0,0,0,0,0,0,0,0
2.5,1,0,0,0,1,1,1,792.0,65.5,64.9,4,97.87350515463918,4,1,2,1,1,0,0,0,1,0,1,1,0
2.0,1,0,0,0,1,1,1,1180.0,68.0,73.55555555555556,4,97.87350515463918,3,0,2,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,1,1,860.0,65.0,73.55555555555556,4,97.87350515463918,4,1,1,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,988.0,92.0,73.55555555555556,4,97.87350515463918,9,0,3,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,1,1,1,1093.0,92.0,73.55555555555556,4,97.87350515463918,7,1,3,0,0,0,0,0,0,0,0,0,0
1.0,1,0,0,0,1,0,1,456.0,33.5,45.68818181818182,3,68.51434782608695,12,0,7,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,1,0,1,644.0,47.3,45.68818181818182,3,68.51434782608695,12,2,7,0,0,0,0,0,0,0,0,0,0
2.5,1,0,0,0,1,0,1,785.0,55.22,45.68818181818182,3,68.51434782608695,5,0,6,0,0,0,0,0,0,0,0,0,0
3.0,0,0,0,0,1,1,1,1060.0,136.0,139.5,3,68.51434782608695,12,1,6,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,1,1,1,113.0,143.0,139.5,3,68.51434782608695,5,1,7,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,1,664.0,47.59,47.804,2,81.48103448275862,8,1,4,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,1,670.0,47.7,47.804,2,81.48103448275862,13,3,5,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,1,673.0,47.8,47.804,2,81.48103448275862,8,3,4,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,1,682.0,47.91,47.804,2,81.48103448275862,8,3,3,0,0,0,0,0,0,0,0,0,0
2.0,0,0,0,0,1,0,1,698.0,48.02,47.804,2,81.48103448275862,10,2,3,0,0,0,0,0,0,0,0,0,0
